time,open,high,low,close,Volume,RSI,MACD Line,Signal Line,Histogram,BB Upper Band,BB Basis,BB Lower Band,Simple Moving Average
1600041600,3.2002,4.91,3.2002,3.2661,4788171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600128000,3.2629,3.3258,2.9001,2.9332,4318305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600214400,2.9299,2.9299,2.4316,2.5395,5698128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600300800,2.54,2.936,2.3569,2.8855,6499338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600387200,2.8821,3.15,2.724,3.108,6310796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600473600,3.108,3.2509,2.955,3.0193,5004414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600560000,3.0159,3.0173,2.6876,2.8635,4430783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600646400,2.8567,3.03,2.4576,2.7539,6299704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600732800,2.7544,3.01,2.6094,2.9183,8942906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600819200,2.9196,3.0935,2.6863,2.8313,7291781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600905600,2.835,3.2538,2.7607,3.1392,6564611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600992000,3.1314,3.2698,2.898,3.1821,5925744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1601078400,3.1871,3.249,3.017,3.1262,5033808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1601164800,3.1275,3.1883,2.977,3.1617,4684139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1601251200,3.1596,3.2116,2.8909,2.9564,4954686,43.922922962207146,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1601337600,2.956,3.0207,2.874,2.9517,4430934,43.83584756154512,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1601424000,2.95,2.989,2.8285,2.9004,3951833,42.83761053098129,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1601510400,2.9008,2.9968,2.6546,2.8701,4852685,42.22597334106798,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1601596800,2.8694,2.8851,2.4224,2.6236,5582857,37.53114767823961,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1601683200,2.6271,2.6689,2.5326,2.5454,4150340,36.15769088695556,NaN,NaN,NaN,3.328598148583863,2.92877,2.5289418514161373,NaN
1601769600,2.5447,2.5909,2.4266,2.5236,4641666,35.76476292953707,NaN,NaN,NaN,3.297136955407257,2.891645,2.486153044592743,NaN
1601856000,2.5244,2.677,2.4561,2.6495,4421463,39.831405736741765,NaN,NaN,NaN,3.295790426337838,2.87746,2.459129573662162,NaN
1601942400,2.6517,2.661,2.1346,2.1732,5435007,31.664241028986396,NaN,NaN,NaN,3.3591566257648355,2.8591450000000003,2.359133374235165,NaN
1602028800,2.1725,2.4,2.0854,2.3027,6627417,35.5345578396322,NaN,NaN,NaN,3.385344858014892,2.830005,2.274665141985108,NaN
1602115200,2.3036,2.4629,2.0117,2.3716,8385420,37.56079373397306,NaN,NaN,NaN,3.3672497115961715,2.7931850000000003,2.219120288403829,NaN
1602201600,2.3717,2.6289,2.3101,2.5363,6662396,42.234790943752444,-0.23294001429049782,NaN,NaN,3.343656427637368,2.7690349999999997,2.1944135723626315,NaN
1602288000,2.5356,2.611,2.3907,2.407,5487486,39.720936304957476,-0.2294730649080896,NaN,NaN,3.339956581969106,2.74621,2.152463418030894,NaN
1602374400,2.4065,2.4609,2.3378,2.4257,4904544,40.274613386836116,-0.2226499784699283,NaN,NaN,3.3397109410397543,2.7298,2.1198890589602457,NaN
1602460800,2.4269,2.7096,2.4171,2.5825,6382872,44.84899717025021,-0.20225867167683953,NaN,NaN,3.319719772131623,2.7130099999999997,2.1063002278683762,NaN
1602547200,2.582,2.5889,2.3355,2.4048,6883812,41.01507581340293,-0.19815313305915616,NaN,NaN,3.3101329776828416,2.691685,2.0732370223171586,NaN
1602633600,2.4053,2.4464,2.2337,2.3087,4990767,39.06992327110838,-0.20034448447767605,NaN,NaN,3.2541982153473388,2.65016,2.0461217846526614,NaN
1602720000,2.3102,2.3443,2.1928,2.267,4524474,38.2228317095776,-0.20310472294543214,NaN,NaN,3.1782153954269154,2.6044050000000003,2.030594604573085,NaN
1602806400,2.2668,2.2708,2.103,2.1404,5792357,35.69266516422279,-0.2130518645034125,NaN,NaN,3.1102244280409876,2.5551150000000002,2.000005571959013,NaN
1602892800,2.1401,2.2425,2.11,2.2062,4136722,37.990206875032975,-0.2131682647040707,-0.2127937998927892,-0.00037446481128147746,3.0071158873735264,2.50734,2.007564112626474,NaN
1602979200,2.2069,2.2649,2.1804,2.2186,3907591,38.43658823229781,-0.20984101967946867,-0.2122032438501251,0.0023622241706564295,2.9402112478695837,2.4704500000000005,2.0006887521304173,NaN
1603065600,2.2167,2.2206,2.051,2.0578,4834438,34.925531606069384,-0.21767020355273514,-0.21329663579064712,-0.0043735677620880264,2.8734387610411996,2.425755,1.9780712389588004,NaN
1603152000,2.0576,2.1083,1.8457,1.8905,6052367,31.682799093461867,-0.2346694763474284,-0.21757120390200338,-0.017098272445425028,2.8252197510889188,2.37526,1.9253002489110809,NaN
1603238400,1.8885,2.1098,1.8474,1.8933,10108189,31.796934074840692,-0.2450903370686559,-0.2230750305353339,-0.02201530653332201,2.7627755412734,2.3264199999999997,1.8900644587265998,NaN
1603324800,1.8933,2.0905,1.8629,1.9619,6143069,34.67638503330929,-0.24498941214006065,-0.22745790685627926,-0.01753150528378139,2.7348544957190404,2.293335,1.8518155042809596,NaN
1603411200,1.962,1.9938,1.8502,1.9645,5454719,34.78875808502663,-0.24191103036249917,-0.23034853155752325,-0.011562498804975924,2.71204457071927,2.26429,1.8165354292807296,NaN
1603497600,1.9666,1.9734,1.88,1.9196,4059055,33.710278372039525,-0.24032413831042154,-0.2323436529081029,-0.007980485402318632,2.689227231612618,2.23409,1.7789527683873827,NaN
1603584000,1.9179,1.9281,1.7628,1.7937,5740317,30.8246810948971,-0.2463854150410114,-0.2351520053346846,-0.011233409706326802,2.6430759843108045,2.1913,1.7395240156891953,NaN
1603670400,1.7946,1.8723,1.6162,1.6786,6534261,28.428795293209404,-0.25750823396052125,-0.23962325105985194,-0.01788498290066931,2.670714804991578,2.16657,1.6624251950084221,NaN
1603756800,1.6777,1.7542,1.5928,1.7135,7047936,30.200353918981136,-0.2605040808751171,-0.24379941702290497,-0.016704663852212143,2.673802302534685,2.1371100000000007,1.6004176974653164,NaN
1603843200,1.7131,1.7287,1.4555,1.5196,10242140,26.304643340700082,-0.27535035317714995,-0.25010960425375395,-0.025240748923396006,2.682766912921548,2.0945100000000005,1.5062530870784532,NaN
1603929600,1.5195,1.5773,1.4146,1.4325,6341465,24.759591162500897,-0.29079230038612525,-0.25824614348022823,-0.03254615690589702,2.657768234212042,2.0393200000000005,1.4208717657879588,NaN
1604016000,1.4321,1.4677,1.3379,1.4378,7038014,25.048084552477718,-0.2991540276822042,-0.26642772032062345,-0.032726307361580775,2.6377079555506016,1.9908600000000003,1.344012044449399,NaN
1604102400,1.4367,1.5501,1.4269,1.5472,5962596,30.934763609212467,-0.293569010291016,-0.271855978314702,-0.021713031976314023,2.588997558556401,1.9469350000000005,1.3048724414436002,NaN
1604188800,1.5474,1.6465,1.5132,1.6076,5514776,34.016037575107575,-0.2810295350097032,-0.27369068965370225,-0.007338845356000934,2.485540920319348,1.8981900000000007,1.3108390796806533,NaN
1604275200,1.6062,1.6426,1.4644,1.4741,5293427,30.75051822520895,-0.27865211665528755,-0.2746829750540193,-0.003969141601268267,2.4181872637767334,1.8516550000000005,1.2851227362232678,2.399708
1604361600,1.4729,1.4857,1.4109,1.4131,5470217,29.363416301536773,-0.27848004111658264,-0.27544238826653195,-0.0030376528500506983,2.3633153683234984,1.8068750000000005,1.2504346316765025,2.362648
1604448000,1.4149,1.4166,1.2737,1.391,7471679,28.855569516766806,-0.2769346253399154,-0.27574083568120866,-0.0011937896587067565,2.3054766256428376,1.7630750000000002,1.220673374357163,2.331804
1604534400,1.3912,1.489,1.302,1.4011,7267156,29.456051076783524,-0.27176218135147345,-0.27494510481526163,0.0031829234637881787,2.2613335304991593,1.7261100000000007,1.190886469500842,2.3090360000000003
1604620800,1.4015,1.9474,1.3954,1.8998,15848200,51.30900310332074,-0.22483035564712162,-0.26492215498163363,0.04009179933451201,2.206230995074078,1.7107900000000005,1.2153490049259228,2.289322
1604707200,1.8978,2.5,1.8324,2.0283,36707735,55.16319591557775,-0.17524752518761955,-0.24698722902283082,0.07173970383521128,2.163538950032873,1.7012750000000003,1.2390110499671274,2.267728
1604793600,2.0304,2.2868,1.965,2.1571,16913035,58.69266488129153,-0.12412881157760958,-0.22241554553378656,0.09828673395617699,2.1855338822893433,1.7062400000000004,1.2269461177106578,2.2504839999999997
1604880000,2.1571,2.2024,1.9517,2.0393,13460103,54.469462272949634,-0.09206111502757208,-0.19634465943254367,0.10428354440497159,2.2085503409985248,1.71368,1.2188096590014754,2.234
1604966400,2.0417,2.3306,2.0088,2.2652,8961990,60.35991044773607,-0.04786720901227115,-0.16664916934848917,0.11878196033621802,2.278073269967936,1.7322750000000002,1.1864767300320644,2.224226
1605052800,2.2659,2.3041,1.9674,2.003,7201587,51.95764899451977,-0.0336130979289182,-0.14004195506457498,0.10642885713565678,2.283867747930014,1.7343300000000004,1.184792252069987,2.20592
1605139200,2.0012,2.0618,1.8265,1.9083,6848757,49.28895259922768,-0.02961670778750025,-0.11795690560916003,0.08834019782165978,2.276880081414097,1.7315200000000004,1.1861599185859037,2.18746
1605225600,1.9082,2.0821,1.9,2.0191,6925383,52.37137522605208,-0.017309374112172815,-0.09782739930976259,0.08051802519758977,2.290376079203823,1.7364950000000003,1.1826139207961779,2.165058
1605312000,2.0182,2.0381,1.8749,1.92,6352416,49.474753272635766,-0.015375031499170744,-0.08133692574764421,0.06596189424847347,2.302010382331767,1.74281,1.1836096176682331,2.139816
1605398400,1.9206,2.2252,1.9131,2.0431,11659509,52.95552503750119,-0.0038643638508168987,-0.06584241336827876,0.06197804951746186,2.3342598224736872,1.7610350000000004,1.1878101775263135,2.118154
1605484800,2.0421,2.372,1.9859,2.268,11366459,58.571013045500415,0.023138744578529824,-0.048046181778917035,0.07118492635744686,2.402325629415458,1.7887600000000003,1.175194370584543,2.10028
1605571200,2.2681,2.3431,2.1263,2.207,10271223,56.59767042036037,0.03916523984849052,-0.030603897453435523,0.06976913730192605,2.4494151685933407,1.8231300000000004,1.19684483140666,2.085292
1605657600,2.2041,2.2246,1.9977,2.1166,9500906,53.70968090437784,0.044063887255456846,-0.015670340511657048,0.059734227767113894,2.46910272806351,1.8573350000000004,1.245567271936491,2.06859
1605744000,2.1151,2.1883,2.0125,2.0797,8017468,52.53137396462968,0.04445611656569626,-0.003645049096186386,0.04810116566188265,2.4766494754944577,1.8894300000000004,1.302210524505543,2.0521760000000002
1605830400,2.0802,2.2445,2.0515,2.1052,8621112,53.293940234848485,0.04629098435502099,0.006342157594055091,0.0399488267609659,2.4896936400051852,1.9173300000000004,1.3449663599948156,2.036878
1605916800,2.1079,2.5204,2.0313,2.3991,14596123,61.058661860650034,0.07064604049360845,0.019202934173965763,0.05144310631964269,2.54730261678041,1.9569050000000003,1.3665073832195909,2.032388
1606003200,2.4013,2.4287,2.0302,2.1502,11135646,53.01970078131677,0.06906728344556612,0.029175804028285835,0.03989147941728029,2.542842856837904,1.9907100000000006,1.4385771431620975,2.0244839999999997
1606089600,2.1488,2.3611,2.1045,2.2826,10403310,56.31456188339912,0.07760509734301912,0.03886166269123249,0.03874343465178663,2.5317829110687553,2.0341850000000004,1.5365870889312454,2.019664
1606176000,2.2839,2.484,2.1323,2.2894,15447405,56.48336569244272,0.08395232934423769,0.04787979602183353,0.036072533322404156,2.4911996564807426,2.0791050000000006,1.6670103435192585,2.0124619999999998
1606262400,2.2896,2.4856,2.1686,2.2673,16621443,55.729663100733845,0.08620554724440321,0.05554494626634747,0.030660600978055744,2.4007390864531484,2.1224150000000006,1.8440909135468528,2.014344
1606348800,2.2651,2.3097,1.712,1.9032,16134733,45.06133062379343,0.05794347526026611,0.0560246520651312,0.0019188231951349083,2.4003686156075212,2.1225850000000004,1.8448013843924795,2.006354
1606435200,1.902,1.9621,1.7643,1.8558,8008055,43.88357689063011,0.031359305184258,0.05109158268895656,-0.01973227750469856,2.4128296866528673,2.1139600000000005,1.8150903133471337,1.996038
1606521600,1.8551,1.9382,1.7912,1.8821,6099812,44.74650051144138,0.01227188640465915,0.04332764343209708,-0.03105575702743793,2.4147675298732834,2.1002100000000006,1.785652470126718,1.982954
1606608000,1.8813,1.9418,1.8439,1.9093,5200776,45.676890095113485,-0.000652693965735196,0.034531575952530626,-0.03518426991826582,2.4182477629798744,2.0937100000000006,1.7691722370201268,1.973
1606694400,1.9101,2.015,1.8979,1.959,6712193,47.41911846427163,-0.006806679224981238,0.026263924917028253,-0.03307060414200949,2.3979853062954732,2.078400000000001,1.758814693704529,1.9636660000000001
1606780800,1.9594,2.1334,1.9032,1.9695,9480633,47.80001622398351,-0.010713001815843892,0.018868539570453823,-0.029581541386297715,2.3982189431777554,2.0767250000000006,1.7552310568222458,1.951406
1606867200,1.9681,2.2047,1.9252,2.116,8791836,52.92405716613765,-0.001964815790840735,0.014701868498194912,-0.016666684289035647,2.399459278212701,2.0871100000000005,1.7747607217872996,1.9456300000000002
1606953600,2.1152,2.2223,2.0705,2.0989,8707406,52.27897878447912,0.0035474646081312677,0.012470987720182184,-0.008923523112050916,2.401907207123643,2.0911000000000004,1.7802927928763577,1.9414339999999999
1607040000,2.0985,2.1129,1.8256,1.8463,7048518,43.78834993230281,-0.012324651485074334,0.00751185987913088,-0.019836511364205216,2.4078477840592902,2.087415000000001,1.7669822159407114,1.93302
1607126400,1.8449,1.9816,1.8158,1.9776,5294952,48.472866782488595,-0.014145544133767451,0.003180379076551213,-0.017325923210318665,2.4076417304435855,2.0841400000000005,1.7606382695564153,1.929764
1607212800,1.9776,1.9899,1.8097,1.8515,5088610,44.62637241619694,-0.025470225905435573,-0.002549741919846145,-0.022920483985589428,2.3903960619708853,2.0633150000000002,1.736233938029115,1.9226700000000003
1607299200,1.8517,1.9006,1.81,1.8299,4623318,43.98254407593601,-0.0357756577675068,-0.009194925089378275,-0.02658073267812852,2.379612821262176,2.0444600000000004,1.7093071787378251,1.9148960000000002
1607385600,1.8287,1.8322,1.6271,1.6617,7473779,39.23558429162198,-0.0568596780837447,-0.01872787568825156,-0.038131802395493145,2.3938954415871394,2.0217150000000004,1.6495345584128613,1.9069740000000002
1607472000,1.6617,1.6724,1.4969,1.6553,7017013,39.06282654251675,-0.07324106519095408,-0.029630513588792068,-0.04361055160216201,2.4040995910293805,2.000495000000001,1.596890408970621,1.9022700000000001
1607558400,1.6552,1.6644,1.5409,1.5686,6532250,36.70502757090135,-0.09215706859186223,-0.0421358245894061,-0.05002124400245613,2.4154016875187,1.973665000000001,1.5319283124813017,1.895776
1607644800,1.5686,1.5778,1.4316,1.4406,6597970,33.49101903127698,-0.1161379023835496,-0.056936240148234805,-0.05920166223531479,2.3802471502187843,1.9257400000000007,1.471232849781217,1.8853499999999999
1607731200,1.4394,1.5337,1.4362,1.4886,6893494,35.76258563216889,-0.12977373623876276,-0.0715037393663404,-0.05826999687242236,2.3725989769543636,1.8926600000000007,1.412721023045638,1.8758319999999997
1607817600,1.4879,1.65,1.454,1.5636,9298357,39.25374290751006,-0.13299527289183555,-0.08380204607143943,-0.04919322682039612,2.321916693417019,1.856710000000001,1.391503306582983,1.868712
1607904000,1.564,1.6244,1.5198,1.5936,7690894,40.64336062066928,-0.13161049080644438,-0.09336373501844042,-0.03824675578800396,2.2554833037977224,1.8219200000000009,1.388356696202279,1.8647099999999996
1607990400,1.5927,1.8012,1.5858,1.7534,15330195,47.528875101763845,-0.11627813457650604,-0.09794661493005355,-0.018331519646452493,2.179112105424031,1.7962250000000008,1.4133378945759705,1.8662059999999996
1608076800,1.7534,1.7986,1.6,1.7869,13742356,48.86797446713209,-0.10026813314761984,-0.0984109185735668,-0.0018572145740530371,2.1701414045479974,1.790410000000001,1.4106785954520045,1.8676739999999998
1608163200,1.7865,1.8167,1.6382,1.6808,11618488,44.954845188520025,-0.09504584561048546,-0.09773790398095053,0.0026920583704650725,2.163022543519936,1.781660000000001,1.4002974564800659,1.8708979999999997
1608249600,1.68,1.7104,1.6317,1.7003,6732255,45.81364843778074,-0.08831561069551719,-0.09585344532386386,0.0075378346283466735,2.152587273817911,1.7725700000000006,1.3925527261820905,1.8762539999999999
