time,open,high,low,close,Volume,RSI,MACD Line,Signal Line,Histogram,BB Upper Band,BB Basis,BB Lower Band,Simple Moving Average,Bids Volume,Asks Volume,ATR,ADX,DI+,DI-
1567958400,10000,10357.53,10000,10340.12,471.661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1567972800,10340.12,10412.65,10324.77,10391.63,2624.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1567987200,10316.62,10316.68,10267.37,10297.89,779.449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568001600,10297.89,10316.34,10092.71,10149.47,2664.789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568016000,10149.47,10475.54,10077.22,10414.6,2466.485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568030400,10411.7,10411.7,10302.69,10314.26,3386.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568044800,10314.26,10333.55,10183.31,10308.87,3915.329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568059200,10307.8,10420.65,10228.28,10307,1612.306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568073600,10307,10382.97,10266.61,10307.25,1547.455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568088000,10309.17,10329.24,10226.81,10272.46,1706.083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568102400,10271.93,10290.01,10206.87,10254.56,1409.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568116800,10252.7,10270.58,10167.91,10179.1,1529.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568131200,10172.13,10237.41,9940.87,10026.56,1413.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568145600,10021.49,10127.22,9991.73,10102.02,1462.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,177.34071428571406,NaN,NaN,NaN
1568160000,10094.27,10293.11,10051,10093.88,1377.981,38.05750092148907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,181.9670918367345,NaN,19.73979343992236,28.60498025218084
1568174400,10091.53,10097.65,9884.31,10067.46,1416.504,37.035383129660644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,184.20801384839635,NaN,17.99352591691749,32.986487002814826
1568188800,10068.41,10138.01,9988.69,10070.53,1031.664,37.24628980941897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,181.71601285922517,NaN,18.55836497647533,30.924431851859506
1568203200,10062.34,10101.38,9973.15,9991.84,1826.186,34.093923979382225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,177.8955833692805,NaN,17.544099515487968,29.896655253971794
1568217600,9992.18,10123.29,9934.11,10077.6,2623.529,40.04915747882196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,178.70161312861765,NaN,16.142413752979614,29.15680966623932
1568232000,10073.64,10184.66,10064.11,10159.55,2622.058,45.14953713928573,NaN,NaN,NaN,10457.52447613576,10206.3325,9955.14052386424,NaN,NaN,NaN,174.5479264765735,NaN,17.949457603050373,27.641313197487673
1568246400,10163.06,10205.46,10085.88,10113.43,2704.325,42.93567519315971,NaN,NaN,NaN,10441.432334426114,10194.998,9948.563665573885,NaN,NaN,NaN,170.6216460139611,NaN,17.92024928293729,26.187257750910376
1568260800,10116.97,10129.19,10042.12,10078.96,2502.598,41.30547289991616,NaN,NaN,NaN,10413.271299172296,10179.3645,9945.457700827703,NaN,NaN,NaN,164.65367129867815,NaN,17.210334396500667,27.14084221354346
1568275200,10079.76,10187.9,10076.95,10170.93,2531.512,47.07899547760434,NaN,NaN,NaN,10400.51544859312,10173.0165,9945.51755140688,NaN,NaN,NaN,160.81769477734392,NaN,19.05131507484502,25.741452336024615
1568289600,10170,10365.15,10170,10326.58,2529,55.124294209102125,NaN,NaN,NaN,10418.615646723769,10181.872,9945.12835327623,NaN,NaN,NaN,163.2700022932479,NaN,25.43765597066176,23.451089133131926
