time,open,high,low,close,Volume,RSI,MACD Line,Signal Line,Histogram,BB Upper Band,BB Basis,BB Lower Band,Simple Moving Average,Bids Volume,Asks Volume,ATR,ADX,DI+,DI-
1600056000,3.2002,4.91,3.2002,3.3666,426044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600070400,3.3663,3.565,3.2161,3.3799,1736014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600084800,3.3748,3.49,3.3026,3.3795,1038722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600099200,3.3803,3.4228,3.2224,3.3009,877348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600113600,3.3012,3.3471,3.24,3.2661,710043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600128000,3.2629,3.3258,3.244,3.255,631991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600142400,3.2563,3.2758,3.1449,3.1807,725825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600156800,3.1807,3.2468,3.125,3.2371,692140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600171200,3.2385,3.3149,2.96,3.0758,862419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600185600,3.0761,3.1177,3.019,3.0389,639143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600200000,3.0383,3.1192,2.9001,2.9332,766787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600214400,2.9299,2.9299,2.5011,2.6918,1021473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600228800,2.6915,2.7615,2.6106,2.737,855276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600243200,2.7431,2.7507,2.5102,2.587,934551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3131642857142857,NaN,NaN,NaN
1600257600,2.5811,2.6186,2.4316,2.5341,1202413,10.816153628918386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.30415255102040817,NaN,0,37.08195002621004
1600272000,2.5362,2.6654,2.4901,2.5302,900955,10.773558368495074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2949487973760933,NaN,1.6523048290575721,34.786917740336975
1600286400,2.5239,2.5739,2.4844,2.5395,783460,11.66689461186975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.28027388327780095,NaN,1.5979285610970044,33.85169333414129
1600300800,2.54,2.7,2.4696,2.4836,1056032,10.956796252975721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.27671146304367233,NaN,6.040240294464554,31.02144005527618
1600315200,2.4836,2.6025,2.4677,2.5296,879626,15.513803310644505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.26657492996912435,NaN,5.737970126085614,29.53957724591836
1600329600,2.5296,2.5794,2.3569,2.5396,1246591,16.514077416421017,NaN,NaN,NaN,3.612565241708816,2.9293050000000003,2.2460447582911844,NaN,NaN,NaN,0.26342672068561546,NaN,5.269248928992225,31.19441965398227
1600344000,2.5395,2.6855,2.5056,2.6094,1162926,23.33683754561349,NaN,NaN,NaN,3.5572779354274933,2.891445,2.225612064572507,NaN,NaN,NaN,0.2574605263509287,NaN,8.835725125760908,29.12295475643199
1600358400,2.61,2.7813,2.6004,2.7698,974997,36.23339437732704,NaN,NaN,NaN,3.4893133934532825,2.8609400000000003,2.232566606546718,NaN,NaN,NaN,0.25199191732586235,NaN,11.795689846118233,27.169201858244097
1600372800,2.7688,2.936,2.727,2.8855,1179166,43.60318728903036,NaN,NaN,NaN,3.4182644888318694,2.83624,2.254215511168131,NaN,NaN,NaN,0.24892106608830075,NaN,16.589315155510278,25.076116760175594
1600387200,2.8821,2.9604,2.724,2.8813,1022626,43.40706676763419,NaN,NaN,NaN,3.357676962861599,2.81526,2.2728430371384007,NaN,NaN,NaN,0.24802670422485068,NaN,16.051592492794857,22.924813270906
1600401600,2.8825,2.9972,2.7942,2.951,937169,47.61779085005917,NaN,NaN,NaN,3.3057233421212633,2.799505,2.2932866578787365,NaN,NaN,NaN,0.24481051106593274,NaN,16.20422489536431,21.23972183256148
1600416000,2.9519,3.15,2.908,3.0668,1179630,53.77184865342408,-0.08388592710200271,NaN,NaN,3.268317753431915,2.790095,2.3118722465680848,NaN,NaN,NaN,0.244609760275509,NaN,20.251541125942804,19.408219901859738
1600430400,3.0668,3.1331,2.7989,2.8959,1343839,45.3112352759296,-0.0723810134869236,NaN,NaN,3.2226327723880193,2.775855,2.3290772276119807,NaN,NaN,NaN,0.2510090631129726,NaN,17.94962404376813,20.91280922831956
1600444800,2.9047,3.1217,2.8004,3.1152,987615,55.07867411881236,-0.04504832032995898,NaN,NaN,3.1939573568988795,2.76976,2.345562643101121,NaN,NaN,NaN,0.2560298443191889,46.401159328624594,16.059646895876718,18.710828203905894
1600459200,3.1161,3.1438,3.0242,3.108,839917,54.733044667080904,-0.023694804946810866,NaN,NaN,3.2004180071040897,2.77137,2.3423219928959105,NaN,NaN,NaN,0.24628485543924686,43.462761806650846,16.157599958861265,17.953045873410513
1600473600,3.108,3.2509,3.0647,3.1087,1005125,54.76276635920676,-0.006638976028996435,NaN,NaN,3.2135823696143055,2.7748600000000003,2.336137630385695,NaN,NaN,NaN,0.24199308005072923,40.75476547682096,18.78754220101755,16.811505562585534
1600488000,3.1088,3.1621,3.0622,3.0778,851075,53.10518706801148,0.004334553476744496,NaN,NaN,3.2355306726353428,2.78209,2.3286493273646576,NaN,NaN,NaN,0.23184357433282002,38.220776387593176,18.121772124592336,16.3044405107043
1600502400,3.078,3.1365,2.955,3.0428,878516,51.2142629170605,0.010090628690909043,NaN,NaN,3.2647635508980337,2.79964,2.3345164491019665,NaN,NaN,NaN,0.22824760473761857,35.91308486630428,16.946774021993605,19.07688737514336
1600516800,3.0424,3.1536,2.9846,3.012,829610,49.542471134396244,0.01202840125253779,NaN,NaN,3.286484353802701,2.81339,2.340295646197299,NaN,NaN,NaN,0.2240156329706458,33.63454877085946,16.529909084071463,17.912273472889293
1600531200,3.012,3.1441,2.9942,3.0151,806027,49.72037237344437,0.013656816778001346,-0.021282071299611103,0.034938888077612446,3.3037006087316474,2.834795,2.365889391268353,NaN,NaN,NaN,0.21872165918702824,31.518765253660685,15.619094613997573,16.92528934683929
