time,open,high,low,close,Volume,RSI,MACD Line,Signal Line,Histogram,BB Upper Band,BB Basis,BB Lower Band,Simple Moving Average
1585094400,6500,6745.5,6457.5,6698.5,1809.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585180800,6698.5,6767,6512,6733.5,3904.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585267200,6733.5,6838,6235,6354,4605.347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585353600,6354,6354,6010,6230.5,5750.959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585440000,6230.5,6247,5858,5873,5347.238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585526400,5873,6577.5,5841.5,6389.5,15103.617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585612800,6389.5,6509.5,6323.5,6405,15711.487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585699200,6405,6687,6145,6642,17552.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585785600,6642,7230.5,6543.5,6796.5,32569.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585872000,6796.5,7044,6604.5,6727.5,12668.382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585958400,6727.5,7012,6646,6863.5,10039.906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1586044800,6863.5,6889,6680,6771,10478.195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1586131200,6771,7363,6762,7322.5,17587.456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1586217600,7322.5,7458.5,7072.5,7198.5,18539.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1586304000,7198.5,7417,7150.5,7356.5,15491.07,61.152542372881356,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1586390400,7356.5,7364,7123,7282,16533.355,59.533419643083796,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1586476800,7282,7287,6741.5,6857,21525.607,51.20446617367221,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1586563200,6857,6938,6760,6874.5,8607.234,51.50532135422491,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1586649600,6874.5,7170,6780,6901,13333.274,51.98806783126874,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1586736000,6901,6901,6557,6834.5,23116.247,50.6261210572491,NaN,NaN,NaN,7491.952057302925,6755.55,6019.147942697075,NaN
1586822400,6834.5,6967,6752.5,6864.5,14309.583,51.24662625751437,NaN,NaN,NaN,7501.234234982001,6763.85,6026.465765018,NaN
1586908800,6864.5,6924.5,6603,6617.5,14598.789,46.108661992735236,NaN,NaN,NaN,7498.117827972535,6758.05,6017.982172027465,NaN
1586995200,6617.5,7188,6465.5,7099.5,33866.452,55.48738441723301,NaN,NaN,NaN,7525.262687409003,6795.325,6065.387312590997,NaN
1587081600,7099.5,7138.5,6982,7022,10038.558,53.86421301392316,NaN,NaN,NaN,7522.660975921138,6834.9,6147.139024078861,NaN
1587168000,7022,7289,7013.5,7240,9693.835,57.61975853692355,NaN,NaN,NaN,7452.88547010724,6903.25,6353.61452989276,NaN
1587254400,7240,7255,7047,7118.5,8777.442,54.93568677327857,169.75544334177175,NaN,NaN,7442.952858908946,6939.7,6436.447141091054,NaN
1587340800,7118.5,7211,6750,6827.5,19621.635,49.04314831571184,144.9953466453171,NaN,NaN,7404.463735346695,6960.825,6517.1862646533045,NaN
1587427200,6827.5,6937,6759.5,6837.5,11307.232,49.24462352487399,124.74176266210816,NaN,NaN,7393.855313020372,6970.6,6547.344686979629,NaN
1587513600,6837.5,7159.5,6815.5,7123,10919.75,54.74594838558334,130.2269403087439,NaN,NaN,7407.236821746634,6986.925,6566.613178253367,NaN
1587600000,7123,7743.5,7015,7483.5,34335.355,60.55914951266909,161.79821122495377,NaN,NaN,7479.481800388958,7024.725,6569.968199611043,NaN
1587686400,7483.5,7608.5,7400,7499,8723.038,60.79235552622973,185.92615041885165,NaN,NaN,7548.997512684086,7056.5,6564.002487315914,NaN
1587772800,7499,7702.5,7437,7535,16046.689,61.36376023156532,205.5827848252511,NaN,NaN,7610.652749774637,7094.7,6578.747250225362,NaN
1587859200,7535,7698.5,7496,7691.5,9844.165,63.83150384731092,231.1247885929406,NaN,NaN,7683.852295422091,7113.15,6542.447704577909,NaN
1587945600,7691.5,7791.5,7624,7772.5,8929.64,65.07486871587462,254.9639677432051,178.79059952923814,76.17336821396697,7780.51885785982,7141.85,6503.181142140181,NaN
1588032000,7772.5,7778,7663,7743,5082.865,64.20913045855694,268.38253867012827,196.70898735741616,71.6735513127121,7846.350472050759,7161.175,6475.999527949241,NaN
1588118400,7743,8951.5,7709.5,8778,45617.393,76.18169484341908,358.4012761351514,229.0474451129632,129.35383102218822,8219.331571900539,7235.975,6252.618428099462,NaN
1588204800,8778,9458,8402.5,8625,52274.816,72.32985441757319,412.63930376575263,265.76581684352107,146.87348692223156,8461.42626863304,7324.375,6187.32373136696,NaN
1588291200,8625,9060.5,8619,8820.5,14867.967,74.12979256672703,466.0264843451032,305.8179503438375,160.20853400126572,8710.944920342521,7421.675,6132.405079657479,NaN
1588377600,8820.5,9010,8757,8972.5,11679.001,75.46606455762141,514.6685604759896,347.5880723702679,167.08048810572166,8955.668452761285,7525.25,6094.831547238715,NaN
1588464000,8972.5,9191,8725,8895,20851.73,73.38472273969548,540.7309442198357,386.2166467401815,154.5142974796542,9139.385931566585,7628.275,6117.164068433414,NaN
1588550400,8895,8953,8525,8873,16186.017,72.77116323793126,553.2330289853007,419.61992318920534,133.6131057960954,9289.56935391788,7728.7,6167.830646082121,NaN
1588636800,8873,9105.5,8771,9023.5,15659.189,74.35102656692244,568.729157744735,449.44177010031126,119.28738764442369,9419.596415378564,7849,6278.4035846214365,NaN
1588723200,9023.5,9393.5,8920,9149.5,23645.378,75.6260971730464,584.4400374537545,476.4414235709999,107.99861388275457,9579.584180870263,7951.5,6323.415819129737,NaN
1588809600,9149.5,10059.5,9038,9986.5,35202.181,82.02029864874707,656.8580766849946,512.5247541937988,144.33332249119576,9893.6665953425,8099.725,6305.783404657501,NaN
1588896000,9986.5,10035,9716.5,9805,20871.076,77.28556572856715,691.631662103373,548.3461357757136,143.28552632765934,10121.701840782473,8227.975,6334.248159217527,NaN
1588982400,9805,9912,9525.5,9546,16024.389,70.98807739009014,690.3331132191579,576.7435312644025,113.58958195475543,10254.218712011409,8349.35,6444.481287988592,NaN
1589068800,9546,9569,8153,8725,101828.006,55.53920691793933,615.9558100965496,584.5859870308319,31.369823065717696,10221.17093263272,8444.225,6667.279067367281,NaN
1589155200,8725,9158.5,8182,8559,52692.837,53.02643338424078,537.4213895862831,575.1530675419222,-37.73167795563904,10147.155850099207,8530.3,6913.444149900791,NaN
1589241600,8559,8973,8531.5,8813,12481.242,56.285473915984774,490.0292209291092,558.1282982193595,-68.0990772902503,10099.908427018046,8614.8,7129.691572981951,NaN
1589328000,8813,9400.5,8794.5,9301.5,11279.548,61.77792303681345,486.2828868423858,543.7592159439648,-57.47632910157904,10123.740634114534,8705.7,7287.659365885467,7589.17
1589414400,9301.5,9940,9258.5,9788,27688.885,66.316875169672,516.6151562976047,538.3304040146928,-21.71524771708812,10199.096594324827,8820.15,7441.203405675173,7650.96
1589500800,9788,9840.5,9140.5,9315,21995.281,58.98303538562499,496.7602089329175,530.0163649983377,-33.256156065420214,10169.49237808622,8909.15,7648.80762191378,7702.59
1589587200,9315,9583,9220,9382.5,9930.97,59.668490709440384,480.9278688730301,520.1986657732762,-39.27079690024607,10137.442033852029,8993.7,7849.957966147973,7763.16
1589673600,9382.5,9886,9323,9675,12084.105,62.586276151892726,486.37628769935145,513.4341901584912,-27.05790245913977,10121.548984179697,9088.825,8056.101015820304,7832.05
1589760000,9675,9957.5,9479,9728.5,15272.031,63.11193902052091,489.3700484584406,508.6213618184811,-19.251313360040513,10052.209113480469,9188.1,8323.990886519532,7909.16
1589846400,9728.5,9896,9470,9770,15195.118,63.53986985144074,489.449262176151,504.7869418900151,-15.337679713864077,10115.725648828076,9237.7,8359.674351171925,7976.77
1589932800,9770,9848.5,9323.5,9511,15495.024,58.94403943251583,463.27258617519874,496.4840707470518,-33.21148457185308,10120.413621072545,9282,8443.586378927455,8038.89
1590019200,9511,9573,8813,9067,21825.811,52.00032824351642,402.0655313462448,477.6003628668904,-75.53483152064558,10112.235953282769,9294.325,8476.414046717233,8087.39
1590105600,9067,9264.5,8933.5,9168,9493.212,53.34667654960696,357.5863227896989,453.5975548514521,-96.01123206175322,10110.991231827426,9304.1,8497.208768172575,8134.82
1590192000,9168,9308.5,9082,9172.5,7723.913,53.40938029334529,319.021856566882,426.68241519453807,-107.66055862765609,10105.56280304164,9317.975,8530.387196958362,8183.72
1590278400,9172.5,9295,8690,8710,17050.058,46.49295152817096,248.27736757103594,391.00140566983765,-142.7240380988017,10118.747139331046,9309.825,8500.902860668955,8220.65
1590364800,8710,8974,8640.5,8893.5,10598.736,49.29835563860183,204.65957855638771,353.73304024714764,-149.07346169075993,10123.35849169406,9303.325,8483.291508305942,8263.1
