time,open,high,low,close,Volume,RSI,MACD Line,Signal Line,Histogram,BB Upper Band,BB Basis,BB Lower Band,Simple Moving Average
1603238400,378.7,401.95,377.25,391.2,14532.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603324800,391.2,421.6,390.75,414.45,22749.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603411200,414.45,419.15,401.95,409.45,15926.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603497600,409.45,416.6,407.4,412.3,14328.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603584000,412.3,417.6,402.8,406,12085.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603670400,406,410.8,382.7,392.6,23435.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603756800,392.6,410.55,390.15,403.7,20710.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603843200,403.7,409.65,380.1,388.3,28974.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603929600,388.3,393.85,380.75,387,23062.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604016000,387,391.95,373.25,382.45,43769.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604102400,382.45,393.6,380.4,386.5,22659.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604188800,386.5,397.8,384.25,396.8,22183.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604275200,396.8,404.45,377.55,383.2,47763.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604361600,383.2,390.2,369.9,388.15,35500.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604448000,388.15,408.7,375.8,403,47568.55,54.507257448433926,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604534400,403,421.8,396.2,416.65,79770.85,59.100274725274716,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604620800,416.65,458.65,414.7,456,98724.15,68.8605773693493,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604707200,456,469.5,424,435.4,83161.97,60.69473354292478,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604793600,435.4,460.75,432.35,454.85,45690.96,64.92410856225916,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1604880000,454.85,459.85,434.2,444.45,47085.89,61.13601255381496,NaN,NaN,NaN,453.13730500892075,407.6225,362.10769499107926,NaN
1604966400,444.45,455.65,439.35,450.8,35116.09,62.57195551347112,NaN,NaN,NaN,459.1307956119429,410.60249999999996,362.074204388057,NaN
1605052800,450.8,476.6,449.8,463.3,67972.06,65.29063186918255,NaN,NaN,NaN,466.74394691704947,413.04499999999996,359.34605308295045,NaN
1605139200,463.3,470.25,450.95,462.6,52844.12,65.00586750386483,NaN,NaN,NaN,473.5288129984967,415.7025,357.8761870015033,NaN
1605225600,462.6,478.4,456.95,476.45,43957.29,67.98145534203667,NaN,NaN,NaN,482.45893075418286,418.91,355.3610692458172,NaN
1605312000,476.45,477.5,451.8,460.6,37441.65,61.533079125802175,NaN,NaN,NaN,487.38901215988005,421.64,355.8909878401199,NaN
1605398400,460.6,462.75,440,447.9,34362.91,56.87764036216773,26.380083037890074,NaN,NaN,489.6859688959945,424.40500000000003,359.12403110400555,NaN
1605484800,447.9,466.25,445.65,460.3,44264.8,60.05534340664779,25.554525664977746,NaN,NaN,493.5789530025145,427.235,360.89104699748555,NaN
1605571200,460.3,485.25,460.2,482.2,89446.1,64.96568332399644,26.363510336741854,NaN,NaN,499.8593117880628,431.93,364.0006882119372,NaN
