time,open,high,low,close,Volume,RSI,MACD Line,Signal Line,Histogram,BB Upper Band,BB Basis,BB Lower Band,Simple Moving Average,Bids Volume,Asks Volume,ATR,ADX,DI+,DI-
1585123200,6500,6628.5,6457.5,6511.5,438.877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585137600,6511.5,6745.5,6502,6615,1258.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585152000,6615,6695.5,6592.5,6622,67.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585166400,6622,6698.5,6556,6698.5,44.809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585180800,6698.5,6767,6655,6726.5,370.109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585195200,6726.5,6751,6555,6582,744.421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585209600,6582,6665,6566,6598.5,639.745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585224000,6598.5,6675.5,6512,6611,691.091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585238400,6611,6675,6594,6656,786.552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585252800,6656,6760,6655,6733.5,673.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585267200,6733.5,6838,6733.5,6789.5,665.043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585281600,6789.5,6821.5,6616.5,6702,1029.653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585296000,6702,6702,6595,6617.5,671.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1585310400,6617.5,6659,6573,6621,787.742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,137.07142857142858,NaN,NaN,NaN
1585324800,6621,6680,6591.5,6655.5,711.521,59.26640926640927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,133.60204081632654,NaN,20.119793084671933,19.11244214538525
1585339200,6655.5,6676,6235,6354,740.018,41.799329702555504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,155.55903790087464,NaN,15.985822919613291,31.79526432267834
1585353600,6354,6354,6084.5,6118,911.708,33.481255539016175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,163.69767805081216,NaN,14.081666018344693,34.659856467152636
1585368000,6118,6193,6090.5,6177.5,771.552,36.89109372831642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,159.32641533289703,NaN,13.42660216824198,33.04751748738968
1585382400,6177.5,6300,6162,6231,943.495,39.875531166989155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,157.8030999519758,NaN,17.477450770837947,30.95936800615767
1585396800,6231,6268,6149,6208.5,645.824,39.03937367238111,NaN,NaN,NaN,6940.952302871965,6541.45,6141.947697128035,NaN,NaN,NaN,155.03144995540612,NaN,16.50875032140168,29.84891362286666
1585411200,6208.5,6235.5,6010,6212.5,1630.919,39.28312845662533,NaN,NaN,NaN,6950.964721737875,6526.5,6102.035278262125,NaN,NaN,NaN,160.06491781573428,NaN,14.831212434346279,33.079448332316225
1585425600,6212.5,6288.5,6172.5,6230.5,847.461,40.43731287655356,NaN,NaN,NaN,6948.465035585583,6507.275,6066.084964414416,NaN,NaN,NaN,156.91742368603897,NaN,16.47575029172503,31.31654650523895
1585440000,6230.5,6247,6184,6197,541.993,38.95320324536267,NaN,NaN,NaN,6943.697533040829,6486.025,6028.352466959171,NaN,NaN,NaN,150.20903627989333,NaN,15.97772426959898,30.36991555935948
1585454400,6197,6202.5,6107.5,6146.5,731.886,36.762802585147696,NaN,NaN,NaN,6927.939033336576,6458.425,5988.910966663424,NaN,NaN,NaN,146.26553368847237,NaN,15.230109948287195,32.71678564453339
1585468800,6146.5,6204.5,6075,6134.5,826.964,36.24129735046759,NaN,NaN,NaN,6901.637253965577,6428.825,5956.012746034423,NaN,NaN,NaN,145.0679955678672,NaN,14.251195298025266,32.226993731370136
1585483200,6134.5,6144,6059.5,6123,860.684,35.71836808674456,-206.2823288109721,NaN,NaN,6891.115030809483,6405.875,5920.634969190517,NaN,NaN,NaN,140.7417101701624,NaN,13.635339045909117,31.62701429743199
1585497600,6123,6153.5,5873,5897,1413.673,27.36251928317556,-219.19133717711247,NaN,NaN,6895.115496623941,6370.8,5846.484503376059,NaN,NaN,NaN,150.72444515800797,NaN,11.810745208588285,36.29194371483868
1585512000,5897,5950,5858,5873,972.038,26.64954118866048,-228.72185555882243,NaN,NaN,6888.410649131314,6333.9,5779.389350868685,NaN,NaN,NaN,146.52984193243597,35.31107063913868,11.277704217639629,35.389866180266665
1585526400,5873,6015.5,5841.5,5996.5,1529.844,35.90475241585058,-223.73041719054527,NaN,NaN,6853.329496270615,6300.925,5748.520503729385,NaN,NaN,NaN,148.49199608011912,35.73157915504678,13.497335190168023,32.41055491885293
1585540800,5996.5,6321.5,5983,6238.5,3344.938,49.38249914128232,-197.96526841550713,NaN,NaN,6791.980804058076,6276.175,5760.369195941925,NaN,NaN,NaN,162.06399636011062,33.52223404010653,25.02711169292422,27.551266913539198
