time,open,high,low,close,Volume,RSI,MACD Line,Signal Line,Histogram,BB Upper Band,BB Basis,BB Lower Band,Simple Moving Average,Bids Volume,Asks Volume,ATR,ADX,DI+,DI-
1603267200,378.7,381.15,377.25,379.55,1708.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603281600,379.55,392.5,377.95,392.5,4283.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603296000,392.5,400.25,391.25,391.65,4423.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603310400,391.65,401.95,389.5,391.2,4117.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603324800,391.2,398.45,390.75,393.05,3413.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603339200,393.05,396.65,392.35,394.9,2355.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603353600,394.9,416.15,392.2,415.2,4748.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603368000,415.2,417.55,408.55,414.6,3886.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603382400,414.6,419.45,413.65,416.05,3813.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603396800,416.05,421.6,412.2,414.45,4532.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603411200,414.45,415.7,409.45,413.9,3120.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603425600,413.9,416.8,412.2,412.8,1900.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603440000,412.8,419.15,411.95,417.05,2202.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603454400,417.05,418.8,411.4,412.25,3405.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.964285714285714,NaN,NaN,NaN
1603468800,412.25,413.65,401.95,409.25,3465.09,76.70863309352518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.15969387755102,NaN,35.63390847711932,10.877719429857464
1603483200,409.25,410.2,407.7,409.45,1832.29,76.79851157662624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.684001457725946,NaN,34.92844617908256,10.662367780983086
1603497600,409.45,414,407.4,411.8,2455.2,77.87868680130188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.535144210745523,NaN,36.135243014792245,10.094207107343374
1603512000,411.8,413.15,410.05,410.2,2100.79,75.307959273589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.146919624263697,NaN,35.18682449121152,9.82927093415794
1603526400,410.2,414.75,408.25,414.5,2192,77.46123977602517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.029282508244862,NaN,33.218120378216234,10.828708491961406
1603540800,414.5,416.6,411.1,414.25,3017.46,77.04059115801935,NaN,NaN,NaN,428.3795193569266,406.43,384.4804806430734,NaN,NaN,NaN,7.8486194719416575,NaN,33.238409685105744,10.303399391263868
1603555200,414.25,414.95,411.5,413.4,2511.56,75.53859939406418,NaN,NaN,NaN,426.44004555064663,408.1225,389.8049544493534,NaN,NaN,NaN,7.534432366802967,NaN,32.18374141302364,9.97646833362589
1603569600,413.4,413.65,408.15,412.3,2051.55,73.54042888122335,NaN,NaN,NaN,426.03260268881417,409.1125,392.19239731118586,NaN,NaN,NaN,7.389115769174184,NaN,30.52107999306401,12.607725696988958
1603584000,412.3,416.3,410.45,415.05,1712.41,75.29954029252141,NaN,NaN,NaN,425.3449458505281,410.28249999999997,395.2200541494718,NaN,NaN,NaN,7.2791789285188875,NaN,31.34672740685821,11.90333470263723
1603598400,415.05,417.6,404.4,409.35,3509.72,65.5690195971321,NaN,NaN,NaN,423.4753001591373,411.18999999999994,398.9046998408626,NaN,NaN,NaN,7.70209471933897,NaN,27.599720634124264,15.959130799561086
1603612800,409.35,409.4,404.8,407.2,1786.94,62.29883714508896,NaN,NaN,NaN,421.1871972501715,411.89750000000004,402.6078027498286,NaN,NaN,NaN,7.48051652510047,NaN,26.414750596553816,15.273939377740463
1603627200,407.2,408.95,405.55,406.1,1436.97,60.63266877152713,2.3942965223906754,NaN,NaN,418.28701756152446,412.4575,406.6279824384755,NaN,NaN,NaN,7.189051059021864,NaN,25.541857751529975,14.769201983025217
