time,open,high,low,close,Volume,RSI,MACD Line,Signal Line,Histogram,BB Upper Band,BB Basis,BB Lower Band,Simple Moving Average
1603267200,378.7,381.15,377.25,379.55,1708.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603281600,379.55,392.5,377.95,392.5,4283.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603296000,392.5,400.25,391.25,391.65,4423.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603310400,391.65,401.95,389.5,391.2,4117.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603324800,391.2,398.45,390.75,393.05,3413.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603339200,393.05,396.65,392.35,394.9,2355.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603353600,394.9,416.15,392.2,415.2,4748.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603368000,415.2,417.55,408.55,414.6,3886.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603382400,414.6,419.45,413.65,416.05,3813.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603396800,416.05,421.6,412.2,414.45,4532.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603411200,414.45,415.7,409.45,413.9,3120.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603425600,413.9,416.8,412.2,412.8,1900.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603440000,412.8,419.15,411.95,417.05,2202.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603454400,417.05,418.8,411.4,412.25,3405.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603468800,412.25,413.65,401.95,409.25,3465.09,76.70863309352518,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603483200,409.25,410.2,407.7,409.45,1832.29,76.79851157662624,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603497600,409.45,414,407.4,411.8,2455.2,77.87868680130188,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603512000,411.8,413.15,410.05,410.2,2100.79,75.307959273589,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603526400,410.2,414.75,408.25,414.5,2192,77.46123977602517,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1603540800,414.5,416.6,411.1,414.25,3017.46,77.04059115801935,NaN,NaN,NaN,428.3795193569266,406.43,384.4804806430734,NaN
1603555200,414.25,414.95,411.5,413.4,2511.56,75.53859939406418,NaN,NaN,NaN,426.44004555064663,408.1225,389.8049544493534,NaN
1603569600,413.4,413.65,408.15,412.3,2051.55,73.54042888122335,NaN,NaN,NaN,426.03260268881417,409.1125,392.19239731118586,NaN
1603584000,412.3,416.3,410.45,415.05,1712.41,75.29954029252141,NaN,NaN,NaN,425.3449458505281,410.28249999999997,395.2200541494718,NaN
1603598400,415.05,417.6,404.4,409.35,3509.72,65.5690195971321,NaN,NaN,NaN,423.4753001591373,411.18999999999994,398.9046998408626,NaN
1603612800,409.35,409.4,404.8,407.2,1786.94,62.29883714508896,NaN,NaN,NaN,421.1871972501715,411.89750000000004,402.6078027498286,NaN
1603627200,407.2,408.95,405.55,406.1,1436.97,60.63266877152713,2.3942965223906754,NaN,NaN,418.28701756152446,412.4575,406.6279824384755,NaN
1603641600,406.1,408.35,402.8,407.9,1915.56,62.40456609149023,2.0670565139054133,NaN,NaN,418.10085043916877,412.09250000000003,406.0841495608313,NaN
1603656000,407.9,408.4,404.45,406,1723.91,59.36708168576129,1.6355487407171836,NaN,NaN,418.10663493030535,411.6625,405.2183650696947,NaN
1603670400,406,410.8,403.05,408.75,1627.76,62.23244892168749,1.4982073373279263,NaN,NaN,417.5297126889232,411.2975,405.0652873110768,NaN
1603684800,408.75,409,404.6,404.6,1623.58,55.83365107528156,1.0424759547599365,NaN,NaN,417.50230542830377,410.805,404.10769457169624,NaN
1603699200,404.6,407.75,401.3,405.2,3212.42,56.52957729448276,0.7214046327507617,NaN,NaN,417.3316377383443,410.37,403.4083622616557,NaN
1603713600,405.2,406.9,391.65,394.05,6999.84,42.97713751452118,-0.42782679768663456,NaN,NaN,419.28319921375953,409.4325,399.5818007862405,NaN
1603728000,394.05,395.8,382.7,391.5,7443.48,40.58098566951161,-1.526765077400455,NaN,NaN,420.12236813170296,408.1550000000001,396.1876318682972,NaN
1603742400,391.5,394.4,390.5,392.6,2527.97,42.081133613617666,-2.282608287120354,0.5690877266271614,-2.8516960137475156,420.75169272269085,407.1725,393.5933072773092,NaN
1603756800,392.6,395.7,391.75,392.85,1722.32,42.4368348059851,-2.8288374880448828,-0.11049731630724746,-2.718340171737635,421.2477500818183,406.3525,391.45724991818173,NaN
1603771200,392.85,394.85,392.55,394.45,1344.7,44.77443426876735,-3.096922047309988,-0.7077822625077956,-2.3891397848021922,421.2879542490789,405.6025,389.91704575092115,NaN
1603785600,394.45,403.4,390.15,402.25,3674.13,54.47937619357363,-2.6494450262520672,-1.09611481525665,-1.5533302109954172,420.60684420539104,405.125,389.64315579460896,NaN
1603800000,402.25,406.95,401,406.45,3796.03,58.68912807715777,-1.9336217758362864,-1.2636162073725772,-0.6700055684637092,420.25895146518667,404.9375,389.61604853481333,NaN
1603814400,406.45,410.55,402.4,406.6,7157.05,58.83554702965919,-1.3387902061277828,-1.2786510071236183,-0.06013919900416442,419.25260791938615,404.5425,389.8323920806139,NaN
1603828800,406.6,407,401.55,403.7,3016.63,54.79218198759315,-1.0888362389073905,-1.2406880534803728,0.15185181457298236,418.0353102676111,404.01500000000004,389.99468973238896,NaN
1603843200,403.7,409.65,403.05,405.9,3320.17,57.19545132170134,-0.7050963929209502,-1.1335697213684883,0.42847332844753816,417.02288459189776,403.64000000000004,390.2571154081023,NaN
1603857600,405.9,407.2,394.4,396.7,5644.47,46.14739418896855,-1.1303133638099894,-1.1329184498567886,0.00260508604679921,415.94822371447856,402.86,389.77177628552147,NaN
1603872000,396.7,398.55,386.5,386.75,8170.15,37.67195016653662,-2.2443116929816256,-1.355197098481756,-0.8891145944998695,415.064100557674,401.44500000000005,387.8258994423261,NaN
1603886400,386.75,392.1,380.1,387.35,5910.13,38.40656978344527,-3.0436629572274683,-1.6928902702308986,-1.3507726869965697,414.7629020665238,400.3450000000001,385.9270979334764,NaN
1603900800,387.35,387.75,380.9,384.45,3189.32,36.18654639365665,-3.8665887288476597,-2.1276299619542507,-1.738958766893409,414.82262968245664,399.2075000000001,383.59237031754355,NaN
1603915200,384.45,390.2,382.55,388.3,2739.82,41.05764507372957,-4.160144946170078,-2.534132958797416,-1.626011987372662,414.28488159499085,398.31750000000005,382.35011840500925,NaN
1603929600,388.3,391.85,386.4,391.85,3507.88,45.21065610757923,-4.059539191124429,-2.839214205262819,-1.2203249858616103,413.083625501314,397.51500000000004,381.9463744986861,NaN
1603944000,391.85,392.2,386.8,387.25,3122.24,41.16339731988475,-4.301406030434805,-3.131652570297216,-1.169753460137589,412.24726308054227,396.5775,380.9077369194577,NaN
1603958400,387.25,388.75,383.1,383.2,2721.36,37.942834249857974,-4.764960892795557,-3.4583142347968843,-1.3066466579986726,410.95793728433256,395.30000000000007,379.6420627156676,NaN
1603972800,383.2,392.75,380.75,390.7,4478.59,46.31878071259725,-4.475552754841203,-3.661761938805748,-0.8137908160354552,409.776450161413,394.605,379.43354983858706,402.227
1603987200,390.7,393.85,388.5,388.95,3933.86,44.799369501671514,-4.337406176616696,-3.7968907863679378,-0.5405153902487583,408.33475824967314,393.7925,379.2502417503269,402.415
1604001600,388.95,389.7,383.5,387,5298.53,43.10267490486755,-4.335298103345451,-3.9045722497634405,-0.43072585358201065,408.278955488857,393.44,378.601044511143,402.305
1604016000,387,391.95,383.4,385,12935.65,41.37198905171549,-4.443785531940989,-4.01241490619895,-0.4313706257420389,408.38805143054674,393.11500000000007,377.8419485694534,402.17199999999997
1604030400,385,386.65,374.7,378.1,8846.65,36.001235712454985,-5.028568724921001,-4.215645669943361,-0.8129230549776407,409.00928397977276,392.39,375.7707160202272,401.91
1604044800,378.1,384.05,373.25,379.05,6721.12,37.209827612728084,-5.353643092926177,-4.443245154539924,-0.9103979383862528,409.30241460709556,391.70000000000005,374.09758539290453,401.63
1604059200,379.05,382.2,376.85,382.05,7402.43,40.999044536381945,-5.308004571073582,-4.616197037846655,-0.6918075332269265,409.1193846901753,391.08000000000004,373.0406153098248,401.37300000000005
1604073600,382.05,384.1,379.7,383.2,4855.56,42.433183628826875,-5.120019922088488,-4.7169616146950215,-0.4030583073934668,407.71316106236446,390.1275,372.54183893763553,400.733
1604088000,383.2,384.8,381.15,382.45,3008.43,41.720930570782414,-4.974219756392586,-4.7684132430345345,-0.2058065133580511,405.11389783893236,388.9275,372.74110216106766,400.09
1604102400,382.45,387.95,380.4,382.9,4196.59,42.34623615116845,-4.7674051564155775,-4.768211625710743,0.0008064692951652574,401.9264795191637,387.74250000000006,373.5585204808364,399.427
1604116800,382.9,385.3,381.05,383.75,2541.27,43.577699749900376,-4.483235254366207,-4.711216351441836,0.22798109707562908,398.97058383064063,386.74500000000006,374.5194161693595,398.81300000000005
1604131200,383.75,393.6,383.75,390.5,4706.33,52.292375568182,-3.6710424792065055,-4.50318157699477,0.8321390977882643,394.72317123746416,385.9750000000001,377.226828762536,398.345
1604145600,390.5,393.4,387.4,390,4028.59,51.65591511585194,-3.0327599063126627,-4.209097242858348,1.1763373365456857,393.1444386865466,385.64000000000004,378.1355613134535,397.889
1604160000,390,391.05,383.85,385.6,4706.2,46.31382668274626,-2.8491167519791816,-3.937101144682515,1.0879843927033335,393.0696406424636,385.5825000000001,378.0953593575366,397.26
1604174400,385.6,388.5,385,386.5,2480.17,47.509590722449886,-2.6009733489887594,-3.669875585543764,1.0689022365550045,392.99611158714157,385.5400000000001,378.0838884128586,396.745
1604188800,386.5,390.35,384.55,386.3,4105.91,47.25769098932109,-2.3928726959451296,-3.414475007624037,1.0216023116789072,393.0781211963834,385.63250000000005,378.1868788036167,396.286
1604203200,386.3,388.65,384.25,388.6,3020.01,50.50757369700914,-2.019085885771915,-3.1353971832536125,1.1163112974816976,393.11573104891545,385.64750000000004,378.1792689510846,395.869
